what,kind,bundleId,bundleVersion,description,time
activated,perspective,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.JavaPerspective",1342806119468
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342806120763
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342806123056
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342806125599
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342806251878
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1342806251925
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1342806256963
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1342806267963
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342806269664
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342806279835
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1342806280178
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1342806280225
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.smartEnter",1342806293662
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342808107057
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342810218518
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1342810218596
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342810228794
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342810384085
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1342810384113
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1342810455732
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineEnd",1342810538517
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1342810539500
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.smartEnter",1342810541262
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1342810541637
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1342810543119
