what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1343557388781
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1343557388781
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1343557388781
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1343557388781
os,sysinfo,,,"win32",1343557388784
arch,sysinfo,,,"x86_64",1343557388784
ws,sysinfo,,,"win32",1343557388784
locale,sysinfo,,,"en_US",1343557388784
processors,sysinfo,,,"4",1343557388784
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1343557388784
java.runtime.version,sysinfo,,,"1.7.0_02-b13",1343557388784
java.specification.name,sysinfo,,,"Java Platform API Specification",1343557388784
java.specification.vendor,sysinfo,,,"Oracle Corporation",1343557388784
java.specification.version,sysinfo,,,"1.7",1343557388784
java.vendor,sysinfo,,,"Oracle Corporation",1343557388784
java.version,sysinfo,,,"1.7.0_02",1343557388784
java.vm.info,sysinfo,,,"mixed mode",1343557388784
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1343557388784
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1343557388784
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1343557388784
java.vm.specification.version,sysinfo,,,"1.7",1343557388784
java.vm.vendor,sysinfo,,,"Oracle Corporation",1343557388784
java.vm.version,sysinfo,,,"22.0-b10",1343557388784
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1343557388787
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1343557389021
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1343557389457
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1343557389767
started,bundle,org.eclipse.ui.navigator,3.5.100.v20110809-2227,"org.eclipse.ui.navigator",1343557389966
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1343557390610
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1343557390637
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1343557390665
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1343557390723
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1343557390772
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343557414830
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1343557458346
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343557496308
opened,view,com.android.ide.eclipse.ddms,20.0.2.v201207191942-407447,"com.android.ide.eclipse.ddms.views.FileExplorerView",1343557496996
activated,view,com.android.ide.eclipse.ddms,20.0.2.v201207191942-407447,"com.android.ide.eclipse.ddms.views.FileExplorerView",1343557497007
opened,view,com.android.ide.eclipse.ddms,20.0.2.v201207191942-407447,"com.android.ide.eclipse.ddms.views.NetworkStatsView",1343557498279
activated,view,com.android.ide.eclipse.ddms,20.0.2.v201207191942-407447,"com.android.ide.eclipse.ddms.views.NetworkStatsView",1343557498287
activated,view,com.android.ide.eclipse.ddms,20.0.2.v201207191942-407447,"com.android.ide.eclipse.ddms.views.DeviceView",1343557500016
opened,view,com.android.ide.eclipse.ddms,20.0.2.v201207191942-407447,"com.android.ide.eclipse.ddms.views.AllocTrackerView",1343557502718
activated,view,com.android.ide.eclipse.ddms,20.0.2.v201207191942-407447,"com.android.ide.eclipse.ddms.views.AllocTrackerView",1343557502725
opened,view,com.android.ide.eclipse.ddms,20.0.2.v201207191942-407447,"com.android.ide.eclipse.ddms.views.HeapView",1343557503561
activated,view,com.android.ide.eclipse.ddms,20.0.2.v201207191942-407447,"com.android.ide.eclipse.ddms.views.HeapView",1343557503572
