what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.smartEnter",1343467612265
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1343467613508
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1343467614687
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1343467619271
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343467624824
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343467630103
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.smartEnter",1343467640097
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.smartEnter",1343467650913
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1343467653798
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1343467665392
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1343467667226
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343467672024
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343467674283
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1343467677731
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343467684001
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343467688028
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343467691322
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343468985900
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1343468988630
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1343468994399
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.smartEnter",1343469041529
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343469045497
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343469047725
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1343469052232
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343469057868
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343469059862
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343469065483
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343469068787
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1343469086405
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1343469089986
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1343469095619
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343469098851
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343469137399
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1343469144104
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1343469145943
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1343469148157
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1343469156316
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1343469179407
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343469187113
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343469214503
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1343469216843
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343469218387
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343469226706
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1343469227049
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1343469227096
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1343469228555
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.scroll.lineDown",1343469228699
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1343469228871
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1343469229552
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1343469230027
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1343469230633
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1343469231531
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343469236687
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343469238325
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343469241414
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343469242474
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.smartEnter",1343469249296
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343469249764
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343469253901
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.smartEnter",1343469272487
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.smartEnter",1343469288604
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343469292796
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343469296700
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1343469305608
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1343469306626
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1343469315617
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343470182130
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343470248615
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.smartEnter",1343470280560
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1343470339283
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1343470342950
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1343470346410
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1343470367468
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1343470374152
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.RunLast",1343470374833
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343470386935
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343470388417
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343470410543
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343470411566
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.smartEnter",1343470428439
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1343470430160
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1343470431975
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.RunLast",1343470432891
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1343470481461
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1343470488457
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1343470490964
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1343470491532
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1343470493214
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1343470493869
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1343470520131
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1343470521473
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1343470528787
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1343470532050
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1343470534997
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1343470537079
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1343470543565
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.RunLast",1343470544044
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1343470562785
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1343470563421
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.RunLast",1343470564262
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1343470604760
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1343470606487
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1343470606926
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.RunLast",1343470607665
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.RunLast",1343470614994
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343470627548
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343470642033
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1343470646824
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1343470648383
started,bundle,org.eclipse.wb.os,1.1.0.r37x201109091012,"org.eclipse.wb.os",1343470704878
started,bundle,org.eclipse.wb.os.win32,1.1.0.r37x201109091012,"org.eclipse.wb.os.win32",1343470704909
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343470723107
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343470737018
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1343470738383
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343470742786
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343470755577
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343470757836
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343472180044
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343472180185
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343472181323
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343472182197
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343472182727
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1343472183741
stopped,bundle,org.hibernate.eclipse.jdt.apt.ui,3.4.0.v20111025-0625-H210-Final,"org.hibernate.eclipse.jdt.apt.ui",1343472183741
stopped,bundle,org.hibernate.eclipse.jdt.ui,3.4.1.v20111025-0625-H210-Final,"org.hibernate.eclipse.jdt.ui",1343472183741
stopped,bundle,org.hibernate.eclipse.mapper,3.4.1.v20111025-0625-H210-Final,"org.hibernate.eclipse.mapper",1343472183741
