what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341651791912
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1341651806350
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1341651809111
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1341651820866
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1341651821603
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1341651822351
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1341651825806
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341651828188
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341651832242
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1341651836373
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1341651858723
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1341651859266
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341651863013
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341651873784
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341651884775
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341651885456
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341651891972
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341651892610
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1341651893042
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1341651894676
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1341651904267
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341651909836
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341661390546
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341661390950
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341661391526
