what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1343375521036
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1343375521408
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1343375528002
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1343375528750
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1343375566453
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1343375567093
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1343375569979
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1343375607543
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1343375608526
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343375652627
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343375696578
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1343375698476
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343375713717
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343375718449
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1343375732276
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343375733698
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343375736346
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343375736382
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343375737764
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343375737784
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343375739072
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343375739105
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343375741912
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343375741948
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343375743783
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343375743847
