what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341726813031
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341726814063
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341726820160
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341726821891
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineStart",1341726851526
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1341726852414
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.smartEnter",1341726853589
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1341726853995
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341726861739
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341726863282
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.smartEnter",1341726867747
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341726868997
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341726871439
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1341726872937
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341726877854
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341726880053
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1341726894955
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1341726897435
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341726904436
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341726906766
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341726910194
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341726911806
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341726912757
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341726913942
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341726914957
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341726916005
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341726916653
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341726925432
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1341726926310
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.smartEnter",1341726937547
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341726938855
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341727127976
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1341727144714
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341727145734
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341727150455
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341727150804
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341727151298
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341727151850
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341727153769
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.smartEnter",1341727164105
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1341727166158
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341727166459
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341727167726
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1341727176152
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341727179010
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341727180784
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1341727181600
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1341727187672
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1341727189055
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341727195425
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341727196554
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1341727197084
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1341727218060
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1341727229906
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341727231530
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341727329604
