what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1344184186129
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1344184187453
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1344184188827
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1344184190533
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1344184192081
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1344184192595
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.RunLast",1344184193543
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1344184194696
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1344184195653
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1344184199032
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1344184210355
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1344184211447
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1344184236521
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1344184375456
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1344184384773
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1344186425123
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1344186426085
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1344186426860
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1344186427288
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1344186450061
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1344186453080
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1344186457745
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1344186478085
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1344187844684
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1344187848802
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.smartEnter",1344187868303
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1344187892072
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1344187976194
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1344187978345
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1344187991344
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1344187992693
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1344187993992
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1344187995246
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1344187996675
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1344187999007
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1344188000134
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1344188010480
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1344188011354
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.smartEnter",1344188035108
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1344188084578
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1344188107287
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.smartEnter",1344188127770
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.smartEnter",1344188133206
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineEnd",1344188134907
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1344188135544
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1344188136163
