what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1341731098773
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1341731099980
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1341731102535
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341731105662
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341731106755
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341731131985
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341731138199
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1341731175489
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1341731187928
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341731198422
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341731241205
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1341731252971
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1341731279024
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1341731282964
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1341731283365
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1341731288896
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1341731321574
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341731324184
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341731327550
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.rename.element",1341731327557
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1341731328443
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341731329061
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341731334618
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1341731336038
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341731337504
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341731344284
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1341731344437
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1341731344522
