what,kind,bundleId,bundleVersion,description,time
java.runtime.version,sysinfo,,,"1.7.0_02-b13",1342104783137
java.specification.name,sysinfo,,,"Java Platform API Specification",1342104783137
java.specification.vendor,sysinfo,,,"Oracle Corporation",1342104783137
java.specification.version,sysinfo,,,"1.7",1342104783137
java.vendor,sysinfo,,,"Oracle Corporation",1342104783137
java.version,sysinfo,,,"1.7.0_02",1342104783137
java.vm.info,sysinfo,,,"mixed mode",1342104783137
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1342104783137
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1342104783137
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1342104783137
java.vm.specification.version,sysinfo,,,"1.7",1342104783137
java.vm.vendor,sysinfo,,,"Oracle Corporation",1342104783137
java.vm.version,sysinfo,,,"22.0-b10",1342104783137
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1342104783140
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1342104783374
started,bundle,org.jboss.tools.common,3.2.1.v20111025-0439-H174-Final,"org.jboss.tools.common",1342104783378
started,bundle,org.jboss.tools.common.model,3.2.1.v20111025-0439-H174-Final,"org.jboss.tools.common.model",1342104783388
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1342104784453
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342104786930
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1342104787622
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342104803802
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342104803842
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342104805244
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342104805440
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1342104805756
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1342104805946
stopped,bundle,org.hibernate.eclipse.jdt.apt.ui,3.4.0.v20111025-0625-H210-Final,"org.hibernate.eclipse.jdt.apt.ui",1342104805947
stopped,bundle,org.hibernate.eclipse.jdt.ui,3.4.1.v20111025-0625-H210-Final,"org.hibernate.eclipse.jdt.ui",1342104805947
stopped,bundle,org.hibernate.eclipse.mapper,3.4.1.v20111025-0625-H210-Final,"org.hibernate.eclipse.mapper",1342104805949
stopped,bundle,org.jboss.tools.hibernate.jpt.ui,3.4.1.v20111025-0625-H210-Final,"org.jboss.tools.hibernate.jpt.ui",1342104805949
stopped,bundle,org.jboss.tools.hibernate.jpt.core,3.4.1.v20111025-0625-H210-Final,"org.jboss.tools.hibernate.jpt.core",1342104805950
stopped,bundle,org.jboss.tools.hibernate.ui,3.4.1.v20111025-0625-H210-Final,"org.jboss.tools.hibernate.ui",1342104805951
stopped,bundle,org.jboss.tools.maven.hibernate,1.2.0.v20111027-1501-H240-Final,"org.jboss.tools.maven.hibernate",1342104805952
